id,name,region,type,status,google_name,google_place_id,confidence
"338","Kinderboerderij Leiderdorp Houtkamp","Leiden","nature","fixed","Kinderboerderij Leiderdorp","ChIJdyVscTDExUcRQKodxJKLlho","contains"
"330","Kinderboerderij Merenwijk","Leiden","nature","fixed","Kinderboerderij Merenwijk","ChIJucgiCqXGxUcR6JJCFtcnSGA","exact"
"335","Pannenkoekenhuis De Schaapsbel","Leiden","pancake","fixed","Pannenkoekenhuis de Schaapsbel","ChIJ0RyNO-zGxUcR_Xe6644al1c","exact"
"336","Pannenkoekenhuisje Hans en Grietje","Leiden","pancake","fixed","Pannenkoekenhuisje Hans & Grietje","ChIJI-zbnXnAxUcR6YhdAJMiAgY","first-word"
"334","Speeltuin De Speelschans","Leiden","play","fixed","Speeltuin de Speelschans","ChIJv3gn_ofGxUcRbgARZVByRyU","exact"
"340","Speeltuin Merendroom","Leiden","play","name_mismatch","Speeltuinvereniging Merendroom","ChIJS2WMlLzGxUcRk_SF5PoL7ag","none"
"332","Speeltuin Westerkwartier","Leiden","play","name_mismatch","Speeltuinvereniging Westerkwartier","ChIJ5-_SZfrGxUcR3ebQeAIMtJk","none"
"339","Speeltuin Zuiderkwartier","Leiden","play","fixed","Speeltuin Vereniging Zuiderkwartier","ChIJjTFVYorGxUcRkogsnWfk4lw","first-word"
"333","Speeltuin Zuidwest Leiden","Leiden","play","name_mismatch","Speeltuinvereniging Zuid-West","ChIJt4VKhFvGxUcRizdZa9Ilpt0","none"
"331","Theehuis De Trotse Pauw","Leiden","horeca","fixed","de trotse pauw","ChIJfxQ9CaXGxUcRbDhd6ShXLIQ","contains"
"558","Cafe de Blonde Pater","Nijmegen","horeca","fixed","Café de Blonde Pater","ChIJjyDXl0MIx0cRJqdVn2Rh65M","exact"
"551","Dierenweide Kronenburgerpark","Nijmegen","nature","fixed","Dierenweide Kronenburgerpark","ChIJKTSDeQAJx0cRzvrAfaWFjUw","exact"
"541","FunZone Nijmegen","Nijmegen","play","fixed","FunZone Nijmegen","ChIJec1MSAaox0cRANHO9RKhEEU","exact"
"548","Goffertpark","Nijmegen","nature","fixed","Goffertpark Nijmegen","ChIJNRIFmXsJx0cRKL3rtQZLRkg","contains"
